-able	 V. -ble.
-acha	 V. -acho.
-acho	cha  Del lat. -aceus. 1. suf. U. para formar aumentativos y despectivos a partir de adjetivos y nombres. Amigacho, bocacha, poblacho, ricacha. Combinado con -ar, toma la forma -aracho. Dicharacho, vivaracha.
-achuelo	la  V. -uelo.
-achón	 V. -ón^1.
-ación	 V. -ción.
-aco^1	ca Tb. ‒́aco. Del lat. -ăcus, y este del gr. -ακός -akós. 1. suf. Indica relación. Cardiaco o cardíaco, maniaco o maníaco. 2. suf. U. para formar gentilicios. Austriaco o austríaco, egipciaco o egipcíaco.
-aco^2	ca 1. suf. U. con valor despectivo. Libraco. Combinado con -arro, toma la forma -arraco con valor diminutivo y despectivo. Bicharraco, pajarraco.
-ada	 1. suf. Forma sustantivos derivados de otros sustantivos que significan conjunto. Fritada, vacada. 2. suf. Forma sustantivos derivados de otros sustantivos que indican contenido. Carretada, cucharada. 3. suf. Forma sustantivos derivados de otros sustantivos que señalan período. Temporada, otoñada. 4. suf. Forma sustantivos derivados de otros sustantivos que indican golpe. Palmada, pedrada. 5. suf. Forma sustantivos derivados de otros sustantivos que indican acción, a veces con matiz peyorativo. Alcaldada, zancada, trastada. 6. suf. Forma sustantivos derivados de otros sustantivos que señalan abundancia o exceso. Riada, panzada. 7. suf. Forma sustantivos derivados de verbos de la primera conjugación, que suelen denotar acción y efecto. Llamada, llegada. A veces, -ada se combina con otros sufijos, como -ar y -arro. Llamarada. Nubarrada.
-adero	ra  V. -dero.
-ado	da  Del lat. -ātus. 1. suf. Aparece en adjetivos y sustantivos derivados de sustantivos y verbos de la primera conjugación. Forma adjetivos que expresan la presencia de lo significado por el primitivo. Barbado, sexuado, invertebrado. 2. suf. Forma adjetivos que expresan semejanza. Aterciopelado, nacarado, azafranado. 3. suf. Forma sustantivos que indican acción y efecto. Afeitado, revelado. 4. suf. Forma sustantivos que designan un conjunto. Alumnado, alcantarillado. 5. suf. Forma sustantivos que indican dignidad o cargo. Obispado, rectorado, papado.
-ador	ra  V. -dor.
-adura	 V. -dura.
-aico	ca Del lat. -aĭcus. 1. suf. Forma adjetivos que indican pertenencia o relación. Incaico, altaico, voltaico, algebraico.
-aja	 V. -ajo.
-aje	Del fr. -age y del occit. y cat. -atge, y estos del lat. -atĭcus. 1. suf. Forma sustantivos que expresan acción. Aterrizaje, abordaje, aprendizaje. 2. suf. Puede designar derechos que se pagan. Almacenaje, hospedaje, pupilaje. 3. suf. A veces indica conjunto. Cordaje, ramaje.
-ajo	ja  Del lat. -acŭlus o -atĭcus. 1. suf. Forma sustantivos y adjetivos con valor entre despectivo y diminutivo. Tendajo, migaja, escobajo, pequeñajo. Puede combinarse con -ar. Espumarajo. También se combina con -arro. Pintarrajo. A veces toma la forma -strajo. Comistrajo. Estas combinaciones tienen valor despectivo.
-ajón	 V. -ón^1.
-al	Del lat. -ālis. 1. suf. En adjetivos, indica generalmente relación o pertenencia. Ferrovial, cultural. 2. suf. En sustantivos, indica el lugar en que abunda el primitivo. Arrozal, peñascal.
-ales	1. suf. fest. Forma algunos adjetivos de uso familiar o vulgar. Vivales, rubiales, mochales.
-algia	Del lat. cient. -algia, y este del gr. -αλγία -algía, de la raíz de ἄλγος álgos. 1. elem. compos. Significa 'dolor'. Gastralgia, neuralgia.
-alla	Del lat. -alia, t. n. pl. de los adjs. en -ālis, o de sustantivos neutros. 1. suf. Tiene valor entre colectivo y despectivo. Morralla, canalla.
-ambre	1. suf. Forma sustantivos colectivos o que indican abundancia. Pelambre, raigambre, enjambre, corambre.
-amen	Del lat. -āmen. 1. suf. Aparece en sustantivos tomados del latín. Dictamen, gravamen, examen, certamen. 2. suf. En sustantivos españoles derivados tiene significado colectivo. Velamen, cerdamen, maderamen, pelamen.
-amento	 V. -mento.
-amiento	 V. -miento.
-anca	 V. -anco.
-ancia	 V. -ncia.
-anco	ca  1. suf. Tiene valor generalmente despectivo. Potranca, lunanco.
-anga	 1. suf. Forma sustantivos, con valor generalmente despectivo. Bullanga, fritanga.
-ango	ga  1. suf. U. con valor despectivo en sustantivos y adjetivos. Fritanga, maturrango, pendanga.
-ano^1	na  Del lat. -ānus. 1. suf. Forma adjetivos que significan procedencia, pertenencia o adscripción. Murciano, aldeana, franciscano. A veces toma las formas -iano y -tano. Parnasiano, ansotano.
-ano^2	 1. suf. Quím. Designa hidrocarburos saturados. Metano, propano, butano.
-ante	Del lat. -ans, -antis. V. -nte.
-anza	Del lat. -antia. 1. suf. Forma sustantivos deverbales que denotan acción y efecto. Alabanza, venganza. 2. suf. Puede denotar cualidad. Semejanza, templanza. 3. suf. Indica agente. Ordenanza. 4. suf. Designa instrumento o medio. Libranza.
-ar	Del lat. -āris. 1. suf. En los adjetivos significa condición o pertenencia. Espectacular, axilar. 2. suf. En los sustantivos indica el lugar en que abunda el primitivo. Pinar, palomar.
-aracho	cha  V. -acho.
-arada	 V. -ada.
-arajo	 V. -ajo.
-araz	1. suf. Forma adjetivos que significan cualidad intensa y tienen valor un tanto despectivo. Lenguaraz, montaraz.
-arda	 V. -ardo.
-ardo	da  De or. germ. 1. suf. Forma sustantivos y adjetivos, con valor aumentativo o despectivo. Moscarda, goliardo.
-areda	 V. -edo.
-aria	 V. -ario.
-ario	ria  Del lat. -arius. 1. suf. Forma adjetivos que indican relación con la base derivativa. Bancario, embrionario. 2. suf. Forma sustantivos que significan, entre otras cosas, profesión. Boticario, ferroviario. 3. suf. Se refiere a la persona a quien se cede algo. Concesionario. 4. suf. Señala el lugar donde se guarda lo significado por el primitivo. Campanario, relicario.
-arraco	ca  V. -aco^2.
-arrada	 V. -ada.
-arrajo	 V. -ajo.
-arro	rra  V. -rro.
-arrón	 V. -ón^1.
-asa	1. suf. Bioquím. Forma nombres de enzimas. Amilasa, lipasa.
-asco	ca  V. -sco.
-asis	 V. -sis.
-astra	 V. -astro.
-astre	 V. -astro.
-astro	tra  1. suf. Forma sustantivos con significado despectivo. Musicastro, politicastra. A veces toma la forma -astre. Pillastre.
-astrón	na  V. -ón^1.
-atario	ria Del lat. -atarius. 1. suf. Forma sustantivos procedentes del latín o derivados en español de verbos de la primera conjugación. Denota la persona en cuyo favor se realiza la acción. Arrendatario, destinatario, prestatario.
-ate	1. suf. En algunas palabras equivale a -ado. Avenate. Es también la terminación de algunos nombres de origen americano. Chocolate, tomate.
-ativo	va  V. -ivo.
-ato^1	ta  Del lat. -ātus o -ātum. 1. suf. En algunos sustantivos masculinos, indica dignidad, cargo o jurisdicción. Decanato, cardenalato, virreinato. 2. suf. En algunos sustantivos masculinos, designa instituciones sociales. Orfanato, sindicato. 3. suf. En ciertos sustantivos masculinos y en otros femeninos, denota acción o efecto. Asesinato, caminata, perorata. 4. suf. Aplicado a nombres de animales, designa la cría. Cervato, ballenato. 5. suf. En adjetivos significa cualidad. Novato, pazguata.
-ato^2	 Del fr. -ate. 1. suf. Quím. Designa una sal o un éster derivados del ácido correspondiente. Borato, clorato, acetato, nitrato.
-atorio	ria  V. -torio.
-avo	va 1. suf. U., aplicado a numerales cardinales, para significar las partes iguales en que se divide la unidad. Tres dieciseisavos. La dieciochava parte.
-aza	 V. -azo.
